title,location_id,nid,address,city,state_code,zip_code,chargers,common_name,open_soon,latitude,longitude,location_type,num_of_chargers,power,id,date_opened,state_name,population_2019,site_size
"Dublin, OH Supercharger",dublinohiosupercharger,34277,6175 Sawmill Road,Dublin,OH,43017,"<p><strong>Charging<?strong><br/>10 Superchargers, available 24/7, up to 150kW</p>",Meijer,0,40.093177,-83.092304,"['supercharger', 'standard charger']",10.0,150.0,1564.0,2018-09-16,Ohio,11689100.0,medium
"Polaris, OH Supercharger",polarisohsupercharger,34609,1177 Polaris Parkway,Columbus,OH,43240,"<p><strong>Charging</strong><br/>10 Superchargers, available 24/7, up to 150kW</p>",Polaris Towne Center,0,40.141072,-82.988946,"['supercharger', 'standard charger']",10.0,150.0,1923.0,2019-06-22,Ohio,11689100.0,medium
"Sandusky, OH Supercharger",sanduskyohsupercharger,34650,4702 Milan Road,Sandusky,OH,44870,"<p><strong>Charging</strong><br/>10 Superchargers, available 24/7, up to 150kW</p>",,0,41.410005,-82.663187,"['supercharger', 'standard charger']",10.0,150.0,1652.0,2018-07-03,Ohio,11689100.0,medium
"Sheffield, OH Supercharger",sheffieldohsupercharger,34684,5295 Detroit Road,Sheffield,OH,44054-2902,"<p><strong>Charging</strong><br/>8 Superchargers, available 24/7, up to 150kW</p>",Sheetz,0,41.426978,-82.076353,"['supercharger', 'standard charger']",8.0,150.0,1449.0,2018-02-10,Ohio,11689100.0,medium
"Strongsville, OH Supercharger",strongsvilleohsupercharger,34711,9037 Pearl Road,Strongsville,OH,44136,"<p><strong>Charging</strong><br/>8 Superchargers, available 24/7, up to 150kW</p>",Sheetz,0,41.343305,-81.824915,"['supercharger', 'standard charger']",8.0,150.0,1425.0,2018-02-09,Ohio,11689100.0,medium
"West Cincinnati, OH Supercharger",westcincinnatiohsupercharger,34783,6550 Harrison Avenue,Cincinnati,OH,45247,"<p><strong>Charging</strong><br/>12 Superchargers, available 24/7, up to 150kW</p>",Meijer,0,39.193617,-84.65921,"['supercharger', 'standard charger']",12.0,150.0,1488.0,2018-04-14,Ohio,11689100.0,medium
"Akron, OH",AkronOHsupercharger,43462,,Akron,OH,,<p><strong>Target opening in 2022</strong></p><p>Timing and location subject to change<br/>New locations added and timing updated quarterly</p>,,1,41.081195,-81.518841,"['supercharger', 'standard charger']",,,,,Ohio,11689100.0,
"Chillicothe, OH Supercharger",chillicotheohsupercharger,43522,1080 N. Bridge Street,Chillicothe,OH,45601,"<p><strong>Charging</strong><br/>8 Superchargers, available 24/7, up to 250kW</p>",Zane Plaza,0,39.35835,-82.977306,"['supercharger', 'standard charger']",8.0,250.0,2423.0,2020-09-12,Ohio,11689100.0,medium
"Cincinnati, OH Supercharger",cincinnatiohiosupercharger,47908,4825 Marburg Avenue,Cincinnati,OH,45209,"<p><strong>Charging</strong><br/>10 Superchargers, available 24/7, up to 150kW</p>",Meijer,0,39.162578,-84.426532,"['supercharger', 'standard charger']",10.0,150.0,1737.0,2018-12-23,Ohio,11689100.0,medium
"Cleveland, OH",ClevelandOHsupercharger,55759,,Cleveland,OH,,<p><strong>Target opening in Q4 2021</strong></p><p>Timing and location subject to change<br/>New locations added and timing updated quarterly</p>,,1,41.499223,-81.6945,"['supercharger', 'standard charger']",,,,,Ohio,11689100.0,
